,,,,,,,,
ETF NSE Code,Underlying Asset,CMP,20 DMA,CMP-20 DMA,% Change 20 DMA Vs CMP,Today Buy,,
NSE:ITBEES,Nifty IT TRI,45.3,45.40,-0.10,-0.2126,Rank,% from 20 DMA,ETF Code
NSE:SETFNIF50,Nifty 50,272.49,268.87,3.62,1.3447,#1,-0.3876,NSE:TECH
NSE:NIFTYBEES,Nifty 50,288.39,284.51,3.88,1.3621,#2,-0.2126,NSE:ITBEES
NSE:PHARMABEES,Nifty Pharma TRI,23.8,23.70,0.10,0.4389,#3,-0.1849,NSE:ITETF
NSE:PSUBNKBEES,Nifty PSU Bank,75.25,74.97,0.28,0.3782,,,
NSE:ABSLBANETF,Nifty Bank,54.73,53.32,1.41,2.6415,,,
NSE:CPSEETF,CPSE ETF,101,99.13,1.87,1.8823,,,
NSE:ICICIB22,S&P BSE BHARAT 22 index,120.38,117.27,3.11,2.6542,,,
NSE:BANKBEES,Nifty Bank,544.88,539.35,5.53,1.0259,,,
NSE:MASPTOP50,S&P 500 Top 50 Total Return Index,43.9,43.28,0.62,1.4243,,Buying Instruction,Selling Instruction
NSE:PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,68.7,68.00,0.70,1.0227,,Buy Only One ETF In Single Day,Sell Only One ETF in Single Day
NSE:MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,22.67,22.41,0.26,1.1557,,Buy Only If Down % more than 2%,Selling Target Should Be Above 6%
NSE:HEALTHY,Nifty Healthcare TRI,15.1,14.97,0.13,0.8718,,Buy In Different Category Only,
NSE:MID150BEES,Nifty Midcap 150 TRI,230.21,227.47,2.74,1.2066,,Buy ETF After 3 PM,Selling Target Time Before 2 PM
NSE:MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,38.48,37.44,1.04,2.7874,,,
NSE:BANKIETF,Nifty Bank,54.05,53.40,0.65,1.2134,,,
NSE:KOTAKALPHA,NIFTY Alpha 50 Index,#N/A,#N/A,#N/A,#N/A,,Brokerage Saving - Shoonya Link,
NSE:ITIETF,Nifty IT Index,45.34,45.36,-0.02,-0.0474,,http://tinyurl.com/ypyj9wsn,
NSE:MAHKTECH,Hang Seng TECH Total Return Index,19.21,14.24,4.97,34.9349,,,
NSE:HDFCSML250,HDFC NIFTY Smallcap 250 ETF,186.44,185.38,1.06,0.5694,,,
NSE:MONIFTY500,Motilal Oswal Nifty 500 ETF,24.6,24.17,0.43,1.7622,,,
NSE:MAFANG,NYSE FANG+ Total Return Index,94.7,93.89,0.81,0.8611,,,
NSE:MON100,Nasdaq100,164,159.04,4.96,3.1210,,,
NSE:HDFCMID150,HDFC NIFTY Midcap 150 ETF,22.55,22.28,0.27,1.2005,,,
